customer_id,month_end_date,arr_gbp,seats,product_modules,subscription_status,contract_end_date,list_price_per_seat,effective_price_per_seat
CUS-00001,2022-07-31,396600.00,661,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2022-08-31,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2022-09-30,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2022-10-31,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2022-11-30,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2022-12-31,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2023-01-31,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2023-02-28,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2023-03-31,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2023-04-30,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2023-05-31,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2023-06-30,438600.00,731,Core|Analytics|Routing|Compliance,Active,2023-07-05,750.00,600.00
CUS-00001,2023-07-31,451758.00,731,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2023-08-31,482658.00,781,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2023-09-30,482658.00,781,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2023-10-31,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2023-11-30,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2023-12-31,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2024-01-31,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2024-02-29,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2024-03-31,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2024-04-30,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2024-05-31,532716.00,862,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2024-06-30,593898.00,961,Core|Analytics|Routing|Compliance,Active,2024-07-05,772.50,618.00
CUS-00001,2024-07-31,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2024-08-31,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2024-09-30,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2024-10-31,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2024-11-30,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2024-12-31,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2025-01-31,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2025-02-28,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2025-03-31,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2025-04-30,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2025-05-31,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
CUS-00001,2025-06-30,611714.94,961,Core|Analytics|Routing|Compliance,Active,2025-07-05,795.68,636.54
